MESH_ID	Dict_MESH
D000069293	{'D009369': 6, 'D009370': 5, 'D008223': 4, 'D008228': 3, 'D016393': 2, 'D016403': 1, 'D000069293': 0, 'D006425': 7, 'D008206': 6, 'D008232': 5, 'D007154': 7, 'D007160': 6}
D000069316	{'D017437': 4, 'D012871': 3, 'D017486': 2, 'D000152': 1, 'D000069316': 0, 'D012625': 2}
D000070558	{'D009140': 3, 'D005530': 2, 'D005531': 1, 'D000070558': 0, 'D005532': 1, 'D009139': 4, 'D017880': 3, 'D038061': 2, 'D009358': 6, 'D000013': 5}
D000070607	{'D009140': 3, 'D005534': 2, 'D037061': 1, 'D000070607': 0, 'D007592': 2, 'D013568': 5, 'D012816': 4, 'D009461': 3, 'D010146': 2, 'D009437': 1, 'D009422': 4, 'D009468': 3, 'D010523': 2}
D000070624	{'D014947': 3, 'D020196': 4, 'D006259': 3, 'D001930': 2, 'D000070642': 1, 'D000070624': 0, 'D014949': 2, 'D003288': 1, 'D009422': 5, 'D002493': 4, 'D001927': 3}
D000070657	{'D009140': 2, 'D007592': 1, 'D000070657': 0}
D000070676	{'D009140': 3, 'D009135': 2, 'D052256': 1, 'D000070676': 0, 'D014947': 3, 'D013708': 2}
D000070779	{'D009369': 5, 'D009370': 4, 'D018204': 3, 'D009372': 2, 'D005870': 1, 'D000070779': 0, 'D009140': 3, 'D007592': 2, 'D013585': 1, 'D009135': 2, 'D052256': 1}
D000070799	{'D013514': 3, 'D019637': 2, 'D005592': 1, 'D000070799': 0, 'D013812': 3}
D000071056	{'D009358': 3, 'D000013': 2, 'D004065': 1, 'D000071056': 0, 'D004066': 2}
D000071057	{'D013568': 5, 'D012816': 4, 'D009461': 3, 'D020820': 2, 'D004409': 1, 'D000071057': 0, 'D009422': 4, 'D002493': 4, 'D009069': 3}
D000071074	{'D009358': 2, 'D007232': 1, 'D000071074': 0, 'D013568': 5, 'D010335': 4, 'D007249': 3, 'D018746': 2, 'D018805': 1, 'D007239': 2}
D000071075	{'D009422': 3, 'D009468': 2, 'D010523': 1, 'D000071075': 0}
D000071078	{'D002318': 2, 'D014652': 1, 'D000071078': 0}
D000071079	{'D002318': 3, 'D014652': 2, 'D001157': 1, 'D000071079': 0}
